split,source_dataset,output,unit,samples,baseline_mae,model_mae,unweighted_model_mae,model_median_absolute_error,model_p90_absolute_error,model_p95_absolute_error,relative_mae_improvement_percent,baseline_mae_px,model_mae_px,model_p95_absolute_error_px
test,Mendeley PA,left_height,normalized,1215,0.09082211091844423,0.07470168564496428,0.07515969262088333,0.05489567012724217,0.16476461462012024,0.20335065090382012,17.749450117885562,8.106354293988735,6.86984134648996,21.378815534895487
test,Mendeley PA,right_height,normalized,1215,0.08374864314191381,0.0750107609461446,0.07554027158566384,0.05741047779381923,0.15683911968963304,0.20013807404845774,10.433461209589613,7.752631908892402,7.004748269919797,22.17218766124056
test,Mendeley PA,superior_width,normalized,1215,0.052287213831828105,0.05016447962000906,0.0504604347466099,0.039280139243109295,0.10643740702908576,0.1346097419191255,4.059757742392651,7.99725563505415,7.754572248848606,25.914735938901355
test,Mendeley PA,inferior_width,normalized,1215,0.05297964416791801,0.05029257238439645,0.05057369316891299,0.040240803462693264,0.10210154827411894,0.12978038254520538,5.07189473565533,8.405520213420628,8.033672536613427,26.063063467058566
test,Mendeley PA,orientation,degrees,1215,2.4520345637056002,2.2198306743668637,2.2383940400560842,1.2921652535783892,3.5435252942810394,4.574129982181934,9.469845685528265,,,
test,NIH ChestX-ray14,left_height,normalized,227,0.059888010879526596,0.05556214160438283,0.054028567821248305,0.039987609119727915,0.11356960252319763,0.1442622280389282,7.223264242063203,3.383555727183027,3.182094943930145,7.875862352575651
test,NIH ChestX-ray14,right_height,normalized,227,0.06431108190981241,0.05993870384971852,0.05763335263720336,0.04526023339080551,0.12783395863752217,0.1506448450521526,6.798794127310064,3.6247581201667542,3.423752100279751,8.241279317556423
test,NIH ChestX-ray14,superior_width,normalized,227,0.03294619126461226,0.03330280512199348,0.03329620305395503,0.027912726302291437,0.0655293618007568,0.08170907811616669,-1.0824130003890973,3.0903802360756214,3.133697123248577,7.69011785168088
test,NIH ChestX-ray14,inferior_width,normalized,227,0.035595568298638226,0.035358702391329676,0.035950363303688455,0.033478504913244174,0.06910649043582189,0.08358487683227209,0.6654365097399281,3.3414077434436176,3.3303436220279092,8.005384586825532
test,NIH ChestX-ray14,orientation,degrees,227,0.9431180816125156,0.9727557725354323,0.9754642194120441,0.7607549306156187,2.1133900417181737,2.7666826945017955,-3.1425217584889293,,,
