feature,importance,observed_train_fraction
x_-1_inferior_width_norm,0.004492687992751598,1.0
x_-3_superior_width_norm,0.004486088175326586,0.8802439351293392
x_+1_inferior_width_norm,0.004473644774407148,1.0
x_-3_right_height_norm,0.004463477060198784,0.8802439351293392
x_+7_orientation_relative_deg,0.004422033205628395,0.5020774695081088
x_+11_inferior_width_norm,0.004401650745421648,0.186436134566412
x_+6_superior_width_norm,0.004385252017527819,0.5924138855381316
x_-14_center_dy_norm,0.004380612168461084,0.028012330786757807
x_+12_right_height_norm,0.004358713980764151,0.12310682214180405
x_-8_inferior_width_norm,0.004350817296653986,0.41582897734888086
x_+12_inferior_width_norm,0.004345863591879606,0.12310682214180405
x_+7_center_dx_norm,0.004340397659689188,0.5020774695081088
x_-12_right_height_norm,0.00433677202090621,0.12310682214180405
x_+8_superior_width_norm,0.004324793815612793,0.41582897734888086
x_-14_orientation_relative_deg,0.004318419843912125,0.028012330786757807
x_-6_superior_width_norm,0.004318058490753174,0.5924138855381316
x_-4_right_height_norm,0.00431701960042119,0.7825358531028013
x_+6_left_height_norm,0.004301086068153381,0.5924138855381316
x_-2_superior_width_norm,0.00426810048520565,1.0
x_-7_center_dy_norm,0.00426541268825531,0.5020774695081088
x_-9_superior_width_norm,0.004218970891088247,0.33373542420587055
x_-11_superior_width_norm,0.004159431904554367,0.186436134566412
x_+10_left_height_norm,0.004123262129724026,0.2570700978421123
x_+4_orientation_relative_deg,0.0041196453385055065,0.7825358531028013
x_+11_center_dx_norm,0.004085102584213018,0.186436134566412
x_-9_center_dy_norm,0.004080077633261681,0.33373542420587055
x_+2_inferior_width_norm,0.0040654027834534645,1.0
x_-4_superior_width_norm,0.004042745102196932,0.7825358531028013
x_-8_left_height_norm,0.00397890992462635,0.41582897734888086
x_-8_superior_width_norm,0.0039247144013643265,0.41582897734888086
x_-10_inferior_width_norm,0.0038976005744189024,0.2570700978421123
x_-10_center_dx_norm,0.0038855255115777254,0.2570700978421123
x_-11_inferior_width_norm,0.0038821047637611628,0.186436134566412
x_-9_right_height_norm,0.0038052161689847708,0.33373542420587055
x_-9_orientation_relative_deg,0.003762424923479557,0.33373542420587055
x_-7_left_height_norm,0.0037331562489271164,0.5020774695081088
