split,source_dataset,output,unit,samples,baseline_mae,model_mae,baseline_rmse,model_rmse,baseline_residual_r2,model_residual_r2,unweighted_model_mae,model_median_absolute_error,model_p90_absolute_error,model_p95_absolute_error,relative_mae_improvement_percent,baseline_within_5pct_reference_percent,model_within_5pct_reference_percent,baseline_within_10pct_reference_percent,model_within_10pct_reference_percent,baseline_mae_px,model_mae_px,baseline_rmse_px,model_rmse_px,model_p95_absolute_error_px,baseline_within_5px_percent,model_within_5px_percent,baseline_within_10px_percent,model_within_10px_percent,baseline_within_2deg_percent,model_within_2deg_percent,baseline_within_5deg_percent,model_within_5deg_percent
val,Mendeley PA,orientation,degrees,1131,2.9471770774126824,2.667994582029308,7.946801988736861,7.6803197797780145,-2.2834362672696784e-05,0.0659207195667556,2.6679945820293067,1.313390312402376,3.8662678942444444,5.06037141726987,9.472878217024808,,,,,,,,,,,,,,61.45004420866491,67.46242263483644,91.6003536693192,94.96021220159152
val,NIH ChestX-ray14,left_height,normalized,227,0.060462355191078294,0.05686731802818678,0.07971742050551854,0.07365681695436467,-7.786650072372225e-05,0.1462057314014169,0.05677768897439219,0.04748082173270277,0.1163546891350127,0.14620743926901905,5.9459098996891075,53.41680350301039,52.915982484947996,79.9055829228243,85.03147235905857,3.3632069219645073,3.161049854945646,4.405385228979882,4.035344556465648,7.373783801920702,78.11713191023534,80.13820470717022,96.3998357963875,97.90229885057471,,,,
val,NIH ChestX-ray14,right_height,normalized,227,0.06396147726255831,0.05924721186721136,0.08440736589890782,0.0767277965371624,-0.0002824913839174492,0.17345324554167174,0.05859388075195081,0.048168824218140435,0.12631523969220818,0.15502767566961026,7.370476100786656,51.424466338259435,52.194854953475634,77.6327312534209,80.98111658456484,3.560979599445102,3.3271741221994855,4.667517803287388,4.251904597408093,8.051236340377347,74.49644225506293,77.77504105090311,96.16995073891626,97.34811165845649,,,,
val,NIH ChestX-ray14,superior_width,normalized,227,0.03761877331921068,0.036905122422417884,0.05217009312156174,0.051412372532973594,-0.0014455930823416008,0.027433228560045597,0.03756807526121912,0.026303837215680408,0.08097453213766195,0.10344033313116736,1.8970605201216324,73.10892172961138,74.52517788724683,93.6152162014231,93.24849480021894,3.3742446206637933,3.299567269163768,4.695418525159506,4.626946260329092,9.04221661945259,77.12506841817185,78.94772851669401,95.69786535303777,96.09195402298852,,,,
val,NIH ChestX-ray14,inferior_width,normalized,227,0.04196929503637934,0.04092083231268726,0.05636461766327762,0.055144725478290066,-0.003216549411717784,0.03973850402635648,0.040314552813006076,0.03327531934548572,0.09091834911224926,0.10637624593094996,2.498166154049674,70.79775588396278,68.61795292829774,92.2263273125342,92.53831417624522,3.8179706377291867,3.715713715708105,5.181561551360429,5.045210716094953,9.59469598325506,74.11466885604816,73.65489874110563,94.88779419813903,94.88779419813903,,,,
val,NIH ChestX-ray14,orientation,degrees,227,1.2275972979866905,1.191717524992384,1.6316694451817966,1.605268493130627,-0.0003389606153607616,0.031770778939163025,1.1343115107683281,0.9086623140668877,2.641561513941594,3.0082871036216896,2.9227640899137564,,,,,,,,,,,,,,80.07389162561576,79.2309797482211,99.13793103448276,99.13793103448276
test,BUU AP,left_height,normalized,40,0.060187546970584684,0.04449547932811322,0.08399548452962047,0.058669370855600575,-0.050510280487158,0.4874794428120127,0.04449547932811322,0.034452810247468615,0.09973761732737924,0.1279266425405778,26.071950814245028,57.49999999999999,72.5,80.0,90.0,10.460115473352555,7.781881098618783,14.15526093221357,10.031072430625427,21.50274960210982,37.5,37.5,60.0,75.0,,,,
test,BUU AP,right_height,normalized,40,0.05570161736311989,0.040672717624263735,0.07646676644718821,0.05202894361885414,-0.057837383740425574,0.5102623689914226,0.040672717624263735,0.03770838423661111,0.07621035807898764,0.11306605172037384,26.98108322579302,57.49999999999999,75.0,85.0,92.5,9.6904567181325,7.136404584782769,13.124485898634171,9.010501369757705,18.536246018363467,37.5,45.0,65.0,75.0,,,,
test,BUU AP,superior_width,normalized,40,0.02661988522182736,0.02337912558986981,0.03883964544051093,0.03518933833186864,-0.02219288226398075,0.16091773687020205,0.02337912558986981,0.01898678186074816,0.04396630664343696,0.05728969451891434,12.174205880122441,87.5,92.5,95.0,97.5,8.610837582948523,7.821749981942299,12.307417548363377,11.47624821171394,18.99834029401752,42.5,42.5,72.5,77.5,,,,
test,BUU AP,inferior_width,normalized,40,0.025349602312110676,0.026051546700364532,0.03498178233445768,0.035540728771557825,-0.04310966115979298,-0.07671003129603049,0.026051546700364532,0.022784982617748153,0.05706362127007662,0.060609038235830894,-2.76905483412063,85.0,82.5,97.5,97.5,8.227788093412977,8.531211573257554,11.333963234748134,11.471987851262746,20.187403921647142,47.5,37.5,67.5,65.0,,,,
test,BUU AP,orientation,degrees,40,1.7796312292221388,1.4794100548488474,2.5370694749519083,1.984351531665006,-0.005294881234954918,0.38501294752817095,1.4794100548488474,1.0834047675486929,3.1102781458489503,3.4346366739823266,16.86985311583431,,,,,,,,,,,,,,70.0,75.0,95.0,97.5
test,Lumos AP,left_height,normalized,62,0.08119832928112954,0.0680460659465465,0.10669261745693186,0.08835085399734448,-0.00044655252088499076,0.31396439478934457,0.06464928435944105,0.04488876437272747,0.13960379380459745,0.1578066612389901,16.19770191212496,45.208333333333336,51.35416666666668,65.3125,72.60416666666666,14.007493173095854,11.769217572370666,18.254974630348066,15.181538187451794,28.493398966112203,32.708333333333336,30.9375,46.770833333333336,55.00000000000001,,,,
test,Lumos AP,right_height,normalized,62,0.08774166348054425,0.07048362334128115,0.11091730104558407,0.09282597387056811,-0.0003705152096347142,0.29934967988340977,0.06568059644760237,0.05005110268727517,0.1509915821261584,0.17472839301990895,19.669150839714685,42.395833333333336,46.97916666666666,62.083333333333336,73.33333333333333,15.186995489994857,12.256348201804723,19.128947289470997,16.059466367719523,28.60099180521983,24.895833333333336,26.562500000000007,44.89583333333333,56.25,,,,
test,Lumos AP,superior_width,normalized,62,0.025454904723692287,0.024929955094798048,0.03407530920668667,0.03241830621807965,-0.003788798132443816,0.09146141870280233,0.025188505341383748,0.02116378967110996,0.05124620717170339,0.06866212580063077,2.0622730062927297,85.83333333333333,89.16666666666667,98.75,100.0,8.436340710795834,8.254443768731075,11.563528855857502,10.936753811728313,23.438439518835445,36.354166666666664,34.583333333333336,71.35416666666667,73.22916666666666,,,,
test,Lumos AP,inferior_width,normalized,62,0.02788859641059403,0.028887390451849012,0.03774936018177746,0.03911544405658094,-0.00028038187756984634,-0.0739871640250176,0.029219689096983602,0.02459965339070063,0.05690434950494164,0.07752646895043683,-3.58137077445594,84.79166666666667,85.20833333333334,97.1875,95.10416666666667,9.301815950923649,9.606743124127595,12.883655994544716,13.284369532678378,25.130730633933226,38.33333333333333,36.875,64.16666666666666,59.27083333333334,,,,
test,Lumos AP,orientation,degrees,62,1.7639820122806182,1.6493912793355305,2.62704969867421,2.4867910238890727,-0.0003761246616582614,0.10359282793724078,1.5914789805668008,1.2121275135211818,3.570526479228535,5.318519143293799,6.496139538120094,,,,,,,,,,,,,,69.16666666666667,75.72916666666669,95.83333333333334,92.18750000000001
test,MICCAI-2019,left_height,normalized,624,0.11642751734879786,0.09653059808152052,0.17118918302161582,0.14032083436895434,-0.00012091579870965319,0.3280388138132718,0.09653059808152048,0.06721679563226332,0.20290719690340855,0.29465719887045627,17.089533230936645,35.57692307692309,39.423076923076934,58.814102564102576,66.02564102564104,10.274825455654812,8.431044080490208,14.45773583307113,11.517560536211828,23.784650509534618,37.50000000000001,41.18589743589744,58.65384615384617,68.26923076923079,,,,
test,MICCAI-2019,right_height,normalized,624,0.11118951937285251,0.09609118745386226,0.16164406012379934,0.1348479261841085,-0.0009654544364958717,0.30339252203874445,0.09609118745386223,0.06995710734973654,0.20807406257894037,0.27741661293954045,13.57891643398594,34.61538461538463,37.50000000000001,60.737179487179496,64.42307692307693,9.953438070998908,8.553575690852476,14.331521737284461,11.75642323220045,23.427226413826883,37.339743589743605,39.74358974358975,65.3846153846154,68.4294871794872,,,,
test,MICCAI-2019,superior_width,normalized,624,0.047450564959719825,0.04265958987912586,0.060115949181174,0.054430796968334465,-0.007648668868956987,0.1739257120424259,0.042659589879125846,0.036015636887368266,0.08778229520416793,0.11241704676099165,10.096771418129505,60.57692307692308,66.8269230769231,90.06410256410258,93.10897435897436,7.576230334380959,6.745145642204303,9.738926840731521,8.673888484935457,17.91663186259983,40.384615384615394,45.99358974358976,72.59615384615387,77.8846153846154,,,,
test,MICCAI-2019,inferior_width,normalized,624,0.05165245379317356,0.04569705238955438,0.06894799362601768,0.06138407493196248,-0.003994641329515991,0.20420801653245446,0.045697052389554356,0.03776936365764304,0.0932544472455592,0.11270254543166701,11.529755057650828,57.21153846153848,62.17948717948719,87.82051282051283,92.62820512820514,8.37603084299853,7.3761104791621666,11.894329996456344,10.460489763889356,18.37285058504341,40.064102564102576,44.55128205128206,67.1474358974359,72.11538461538463,,,,
test,MICCAI-2019,orientation,degrees,624,2.317787516716539,1.9664657464463566,3.1566665351650127,2.754073919250799,-9.932802531253948e-05,0.23873316813998247,1.9664657464463557,1.3997779220341542,4.197564503962039,5.312491727049485,15.15763493143139,,,,,,,,,,,,,,55.288461538461554,63.46153846153847,90.86538461538464,93.26923076923077
test,Mendeley PA,left_height,normalized,1215,0.09082211091844423,0.07470168564496428,0.1295851986834766,0.10779272530884376,-6.670119451190892e-05,0.3080143734686005,0.07515969262088333,0.05489567012724217,0.16476461462012024,0.20335065090382012,17.749450117885562,40.19119693575228,46.375354832705106,65.32981713789337,75.65287555759424,8.106354293988735,6.86984134648996,13.490793454252906,11.69438397926495,21.378815534895487,50.63515331210431,56.44130219447824,71.39809071750996,76.84548739222062,,,,
test,Mendeley PA,right_height,normalized,1215,0.08374864314191381,0.0750107609461446,0.11624945396834574,0.10278933225339017,-2.2674675105749387e-05,0.21814882420993642,0.07554027158566384,0.05741047779381923,0.15683911968963304,0.20013807404845774,10.433461209589613,40.81235360727193,43.38598208607282,68.97090205620151,74.1123614739767,7.752631908892402,7.004748269919797,12.422955565368579,11.260310316506299,22.17218766124056,53.916250617702524,56.37033011352431,72.4602038916921,75.8397928951468,,,,
test,Mendeley PA,superior_width,normalized,1215,0.052287213831828105,0.05016447962000906,0.07257230885557509,0.06857206337998417,-0.0013305720174032754,0.10601541282220917,0.0504604347466099,0.039280139243109295,0.10643740702908576,0.1346097419191255,4.059757742392651,59.55026824355317,60.57298972453237,87.18520162031959,88.48230490018149,7.99725563505415,7.754572248848606,12.715636940230628,12.101373044654874,25.914735938901355,53.10344273592912,53.434165652858944,71.62125860628583,72.63295562070516,,,,
test,Mendeley PA,inferior_width,normalized,1215,0.05297964416791801,0.05029257238439645,0.07297864269868613,0.07018108685843193,-0.0013421747876556367,0.07395706261436552,0.05057369316891299,0.040240803462693264,0.10210154827411894,0.12978038254520538,5.07189473565533,58.47831337849486,59.958885387651264,88.06824477196527,89.45005362655091,8.405520213420628,8.033672536613427,13.186136902758307,12.759999858002347,26.063063467058566,51.238410460279795,53.65315366222807,69.63268582597077,69.90435859764354,,,,
test,Mendeley PA,orientation,degrees,1215,2.4520345637056002,2.2198306743668637,6.304043629890933,5.924061860039563,-6.151776036134038e-06,0.11691314353546844,2.2383940400560842,1.2921652535783892,3.5435252942810394,4.574129982181934,9.469845685528265,,,,,,,,,,,,,,64.72581209877035,68.46799802335191,94.79637976461935,95.94354198936776
test,NIH ChestX-ray14,left_height,normalized,227,0.059888010879526596,0.05556214160438283,0.07874064853903102,0.07276416700608088,-0.0010766986619707986,0.14512128961417725,0.054028567821248305,0.039987609119727915,0.11356960252319763,0.1442622280389282,7.223264242063203,56.34223184223185,54.74159585270696,79.89385922719256,80.52022874245095,3.383555727183027,3.182094943930145,4.441484224905263,4.2253283486814865,7.875862352575651,78.88945005611671,77.87841376730266,96.57687991021324,96.53572764683875,,,,
test,NIH ChestX-ray14,right_height,normalized,227,0.06431108190981241,0.05993870384971852,0.08508783409171716,0.0769046666418695,-0.0006206704230258264,0.18259004911749432,0.05763335263720336,0.04526023339080551,0.12783395863752217,0.1506448450521526,6.798794127310064,52.72238255571588,52.392042114264335,77.63943669499224,82.82395382395381,3.6247581201667542,3.423752100279751,4.754886437655397,4.4056862922648445,8.241279317556423,72.37643632088077,76.50782961894073,96.0477793811127,98.10325476992143,,,,
test,NIH ChestX-ray14,superior_width,normalized,227,0.03294619126461226,0.03330280512199348,0.04194814820064196,0.04228467446107633,-0.0017441308562486935,-0.01788145538912711,0.03329620305395503,0.027912726302291437,0.0655293618007568,0.08170907811616669,-1.0824130003890973,76.31697931697931,75.57800224466891,97.12391106835551,96.82929827374272,3.0903802360756214,3.133697123248577,3.920873721919434,3.95550216078656,7.69011785168088,80.13553524664636,77.29228795895463,98.75140291806959,98.4567901234568,,,,
test,NIH ChestX-ray14,inferior_width,normalized,227,0.035595568298638226,0.035358702391329676,0.04425649730946864,0.04382999512745483,-0.0016365601597674306,0.017576063029776545,0.035950363303688455,0.033478504913244174,0.06910649043582189,0.08358487683227209,0.6654365097399281,73.620784565229,73.0488482710705,97.52674897119343,97.98971193415639,3.3414077434436176,3.3303436220279092,4.1404738323241626,4.153762061775356,8.005384586825532,75.86665597776707,77.87563465341242,99.07407407407408,98.79629629629628,,,,
test,NIH ChestX-ray14,orientation,degrees,227,0.9431180816125156,0.9727557725354323,1.2887728555642544,1.3165090061395783,-0.0009151765843653514,-0.0444608905998245,0.9754642194120441,0.7607549306156187,2.1133900417181737,2.7666826945017955,-3.1425217584889293,,,,,,,,,,,,,,86.85414996526109,86.5173694618139,100.0,100.0
